,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
104,50min/計量社会科学の課題,大学課題,3633,3000.0,2019-05-18T09:00:20+09:00,2019-05-18T10:00:53+09:00,#06aaf5
105,50min/計量社会科学の課題,大学課題,10012,3000.0,2019-05-17T16:02:51+09:00,2019-05-17T18:49:43+09:00,#06aaf5
106,10min/計量社会科学の課題の修正,大学課題,467,600.0,2019-05-17T15:54:56+09:00,2019-05-17T16:02:43+09:00,#06aaf5
107,ゲームする,休憩,3419,,2019-05-17T13:24:42+09:00,2019-05-17T14:21:41+09:00,#fb8b14
108,20min/記事読む,その他,472,1200.0,2019-05-17T13:16:48+09:00,2019-05-17T13:24:40+09:00,#c56bff
109,30min/Speaking Q3,院留学,1879,1800.0,2019-05-17T08:49:34+09:00,2019-05-17T09:20:53+09:00,#04bb9b
110,25min/Speaking Q2,院留学,409,1500.0,2019-05-17T08:29:14+09:00,2019-05-17T08:36:03+09:00,#04bb9b
111,25min/Speaking Q1,院留学,1000,1500.0,2019-05-17T08:12:25+09:00,2019-05-17T08:29:05+09:00,#04bb9b
112,25min/Speaking Q1,院留学,543,1500.0,2019-05-17T07:59:26+09:00,2019-05-17T08:08:29+09:00,#04bb9b
113,30min/watch social network,院留学,3099,1800.0,2019-05-17T07:05:58+09:00,2019-05-17T07:57:37+09:00,#04bb9b
114,Speaking Q2を解く,院留学,1344,,2019-05-16T23:01:08+09:00,2019-05-16T23:23:32+09:00,#04bb9b
115,Speaking Q2を解く,院留学,1440,,2019-05-16T22:33:40+09:00,2019-05-16T22:57:40+09:00,#04bb9b
116,60min/Speaking Q3とQ4を解く,院留学,206,3600.0,2019-05-16T22:30:04+09:00,2019-05-16T22:33:30+09:00,#04bb9b
117,20min/一週間でどれだけ時間が取れるかを計算してみる,,1044,1200.0,2019-05-16T22:12:17+09:00,2019-05-16T22:29:41+09:00,
118,90min/TOEFL解いたことない形式の問題を一通り解く,院留学,3127,5400.0,2019-05-16T21:19:48+09:00,2019-05-16T22:11:55+09:00,#04bb9b
119,ゲームする,休憩,362,,2019-05-16T21:11:18+09:00,2019-05-16T21:17:20+09:00,#fb8b14
120,60min/プログラミング演習課題,大学課題,3534,3600.0,2019-05-16T20:12:19+09:00,2019-05-16T21:11:13+09:00,#06aaf5
121,60min/部屋の片付け&飯&シャワー,その他,810,3600.0,2019-05-16T19:58:37+09:00,2019-05-16T20:12:07+09:00,#c56bff
122,60min/部屋の片付け&飯&シャワー,その他,2184,3600.0,2019-05-16T19:19:11+09:00,2019-05-16T19:55:35+09:00,#c56bff
123,60min/情報工学5の課題,大学課題,107,3600.0,2019-05-16T19:16:58+09:00,2019-05-16T19:18:45+09:00,#06aaf5
124,60min/情報工学5の課題,大学課題,6744,3600.0,2019-05-16T17:23:58+09:00,2019-05-16T19:16:22+09:00,#06aaf5
